,base_asset,compare_asset,label
0,AAXJ,AIA,0
271,FTXR,PRFZ,0
270,FTXR,PFI,0
269,FTXR,NFTY,0
268,FTXR,IXUS,0
267,FTXR,INDY,0
266,FTXR,IJT,0
265,FTXR,FYX,0
264,FTXR,FYT,0
263,FTXH,XT,0
272,FTXR,PSC,0
262,FTXH,SRET,0
260,FTXH,QQXT,0
259,FTXH,PYZ,0
258,FTXH,PTNQ,0
257,FTXH,PSET,0
256,FTXH,PSCM,0
255,FTXH,PSCC,0
254,FTXH,PSC,0
253,FTXH,PRFZ,0
252,FTXH,PHO,0
261,FTXH,RTH,0
273,FTXR,PSL,0
274,FTXR,PYZ,0
275,FTXR,RFEU,0
306,IBB,SDG,0
305,IBB,PIE,0
294,FYX,PYZ,0
293,FYX,INDY,0
292,FYT,PYZ,0
291,FYT,PSCM,0
290,FYT,PSCC,0
289,FYT,PPH,0
288,FYT,NFTY,0
287,FYT,INDY,0
286,FVC,VTWV,0
285,FVC,QAT,0
284,FVC,PYZ,0
283,FVC,PSCM,0
282,FVC,PSCC,0
281,FVC,PEY,0
280,FVC,FYT,0
279,FTXR,VXUS,0
278,FTXR,VTWV,0
277,FTXR,VTWO,0
276,FTXR,VIGI,0
251,FTXH,PDP,0
307,IBB,SRET,0
250,FTXH,KRMA,0
248,FTXH,IJT,0
219,FNX,INDY,0
218,FNK,PSCM,0
217,FNK,PPH,0
216,FNK,NFTY,0
215,FNK,INDY,0
214,FLN,VYMI,0
213,FLN,VTHR,0
211,FLN,VONE,0
210,FLN,UAE,0
220,FNX,KRMA,0
209,FLN,RTH,0
207,FLN,QYLD,0
206,FLN,QVAL,0
205,FLN,PY,0
204,FLN,PTNQ,0
203,FLN,PSL,0
202,FLN,PSET,0
201,FLN,PSCM,0
200,FLN,PSCC,0
199,FLN,PSC,0
208,FLN,RNRG,0
221,FNX,NFTY,0
222,FNX,PSET,0
223,FSZ,IXUS,0
247,FTXH,FYX,0
246,FTXH,FYT,0
245,FTXH,FVC,0
243,FTRI,PEY,0
242,FTRI,LVHD,0
241,FTRI,FYT,0
238,FTHI,OPPJ,0
237,FTHI,KBWP,0
236,FTCS,RTH,0
235,FTCS,PTNQ,0
234,FTCS,PHO,0
233,FTCS,KRMA,0
232,FTCS,FTXH,0
231,FTA,PY,0
230,FTA,PPH,0
229,FTA,PID,0
228,FTA,NFTY,0
227,FTA,INDY,0
226,FTA,FTRI,0
225,FSZ,VXUS,0
224,FSZ,NXTG,0
249,FTXH,INDY,0
310,IEUS,IMOM,0
311,IEUS,PIE,0
312,IEUS,SCZ,0
388,PDP,VIGI,0
387,PDP,QYLD,0
386,NZAC,PSL,0
385,NXTG,NZAC,0
384,NFTY,VTWV,0
383,NFTY,QVAL,0
382,NFTY,PYZ,0
381,NFTY,PSCM,0
380,NFTY,PRFZ,0
395,PFI,VIGI,0
379,NFTY,PPH,0
377,MDIV,OPPJ,0
376,MDIV,NFTY,0
375,KRMA,PSL,0
374,KRMA,PHO,0
373,KBWD,VYMI,0
372,KBWD,VTWV,0
371,KBWD,VTHR,0
370,KBWD,VONV,0
369,KBWD,VONE,0
378,MDIV,QVAL,0
396,PHO,PSET,0
397,PHO,PTNQ,0
398,PID,PKW,0
422,SRET,XT,0
421,SRET,VTWO,0
420,SRET,VTWG,0
419,SRET,VONV,0
418,SRET,VIGI,0
414,PYZ,VTWV,0
413,PSL,VTHR,0
412,PSL,VONE,0
411,PSL,VIGI,0
410,PSL,QYLD,0
409,PSET,VONV,0
408,PSCM,PY,0
407,PSCC,PSCM,0
406,PRFZ,PY,0
405,PRFZ,PSC,0
404,PPH,QVAL,0
403,PPH,PTNQ,0
402,PPH,PSET,0
401,PPH,PSCM,0
400,PKW,VONV,0
399,PIO,VIGI,0
368,KBWD,UAE,0
367,KBWD,RTH,0
366,KBWD,QYLD,0
365,KBWD,QVAL,0
336,INDY,VTWV,0
335,INDY,VONV,0
334,INDY,QVAL,0
333,INDY,PYZ,0
332,INDY,PY,0
331,INDY,PSCM,0
330,INDY,PSC,0
329,INDY,PRFZ,0
328,INDY,PPH,0
327,INDY,PKW,0
326,INDY,PHO,0
325,INDY,PEY,0
324,IMOM,SCZ,0
323,IMOM,RFEM,0
322,IMCV,PY,0
321,IMCV,PID,0
320,IMCV,NFTY,0
319,IMCV,INDY,0
318,IJT,INDY,0
314,IGF,KBWP,0
313,IFV,IMOM,0
340,IUSV,KBWP,0
198,FLN,PRFZ,0
341,IUSV,PPH,0
343,KBWD,KRMA,0
364,KBWD,QAT,0
363,KBWD,PYZ,0
362,KBWD,PY,0
361,KBWD,PTNQ,0
360,KBWD,PSL,0
359,KBWD,PSET,0
358,KBWD,PSCM,0
357,KBWD,PSCC,0
356,KBWD,PSC,0
355,KBWD,PRFZ,0
354,KBWD,PPH,0
353,KBWD,PKW,0
352,KBWD,PID,0
351,KBWD,PHO,0
350,KBWD,PFM,0
349,KBWD,PEY,0
348,KBWD,PDBC,0
347,KBWD,OPPJ,0
346,KBWD,NZAC,0
345,KBWD,NXTG,0
344,KBWD,NFTY,0
342,KBWD,KBWP,0
197,FLN,PPH,0
212,FLN,VONV,0
195,FLN,PID,0
76,CIL,IPKW,0
75,CFO,FVC,0
74,CFA,INDY,0
73,CFA,FNX,0
72,CFA,DGRS,0
71,CDL,PEY,0
70,CDL,FTRI,0
69,CDC,QAT,0
68,CDC,FVC,0
77,CSB,FEMS,0
67,CATH,PSL,0
63,BJK,IMOM,0
62,BJK,ESGE,0
61,BJK,EEMA,0
60,BBH,SRET,0
59,BBH,SDG,0
58,BBH,FCVT,0
57,ASET,VTWV,0
56,ASET,VTWO,0
55,ASET,RTH,0
64,BJK,PIE,0
54,ASET,QAT,0
78,CSB,FTXR,0
80,CSB,IJT,0
100,DGRS,VIGI,0
99,DGRS,QYLD,0
196,FLN,PKW,0
97,DGRS,PSL,0
96,DGRS,PSET,0
95,DGRS,PSC,0
94,DGRS,PPH,0
93,DGRS,NFTY,0
92,DGRS,KRMA,0
79,CSB,FVC,0
91,DGRS,INDY,0
89,DGRS,FNX,0
88,DGRS,FEX,0
87,DGRS,FEMS,0
86,DGRE,VTWG,0
85,DGRE,SCZ,0
84,DGRE,IMOM,0
83,DGRE,IEUS,0
82,DGRE,FTXR,0
81,CSB,INDY,0
90,DGRS,FTCS,0
53,ASET,PY,0
52,ASET,PSET,0
51,ASET,PSC,0
24,AIA,IMOM,0
19,AGNG,VIGI,0
18,AGNG,RTH,0
17,AGNG,QYLD,0
16,AGNG,QQXT,0
15,AGNG,PTNQ,0
14,AGNG,PSET,0
13,AGNG,PIO,0
12,AGNG,PHO,0
25,ALTY,DDIV,0
11,AGNG,PFI,0
9,AGNG,KRMA,0
8,AGNG,FTCS,0
7,AGNG,ESGU,0
6,AGNG,DGRS,0
5,ACWX,PIZ,0
4,ACWX,IPKW,0
3,ACWX,FSZ,0
2,ACWI,PSL,0
1,AAXJ,IMOM,0
10,AGNG,PDP,0
26,ALTY,IMCV,0
27,ALTY,KBWP,0
28,ALTY,PID,0
50,ASET,PRFZ,0
49,ASET,PKW,0
48,ASET,PHO,0
47,ASET,PFI,0
46,ASET,LVHD,0
45,ASET,KRMA,0
44,ASET,INDY,0
43,ASET,IJT,0
42,ASET,FYX,0
41,ASET,FYT,0
40,ASET,FVC,0
39,ASET,FTCS,0
38,ASET,FNX,0
37,ASET,ESGU,0
36,ASET,CSB,0
35,ASET,CFO,0
34,ASET,CFA,0
33,ASET,CDL,0
32,ASET,CDC,0
30,ALTY,QVAL,0
29,ALTY,PKW,0
101,DGRW,IUSV,0
102,DGRW,PPH,0
98,DGRS,PTNQ,0
104,EEMA,IMOM,0
165,FID,IPKW,0
164,FEX,PKW,0
163,FEMS,VTWV,0
162,FEMS,VTWO,0
161,FEMS,PYZ,0
160,FEMS,PY,0
159,FEMS,PSCM,0
158,FEMS,PSC,0
157,FEMS,PRFZ,0
156,FEMS,PKW,0
155,FEMS,IMCV,0
166,FJP,IVAL,0
154,FEMS,IJT,0
152,FEMS,FYT,0
151,FEMS,FTXR,0
150,FEMS,FTA,0
103,DVY,FTRI,0
148,FEMS,FNX,0
147,FEMS,FNK,0
146,FEMS,FEX,0
145,FEM,VYMI,0
144,FEM,VXUS,0
143,FEM,VTWV,0
142,FEM,UAE,0
153,FEMS,FYX,0
167,FKU,IPKW,0
168,FKU,RFDI,0
169,FLN,FNK,0
194,FLN,PHO,0
193,FLN,PFM,0
192,FLN,PEY,0
191,FLN,PDBC,0
190,FLN,OPPJ,0
189,FLN,NZAC,0
188,FLN,NXTG,0
187,FLN,NFTY,0
186,FLN,MDIV,0
185,FLN,LVHD,0
184,FLN,KRMA,0
183,FLN,KBWP,0
182,FLN,IUSV,0
181,FLN,IPKW,0
180,FLN,INDY,0
179,FLN,IMCV,0
178,FLN,IGF,0
177,FLN,FYT,0
176,FLN,FTRI,0
175,FLN,FTHI,0
174,FLN,FTGC,0
173,FLN,FTCS,0
172,FLN,FTA,0
171,FLN,FSZ,0
170,FLN,FNX,0
141,FEM,SCZ,0
140,FEM,RFEU,0
149,FEMS,FSZ,0
424,VIGI,VTWO,0
125,FEM,FEUZ,0
124,FEM,FEP,0
123,FDT,FEUZ,0
122,FCEF,PFI,0
120,FAB,PSCM,0
119,FAB,PPH,0
118,FAB,NFTY,0
117,FAB,INDY,0
116,FAB,FTRI,0
115,ESGU,PSL,0
114,ESGE,IMOM,0
113,ESGE,IEUS,0
105,EEMA,VTWG,0
112,ESGD,PSL,0
111,ESGD,FSZ,0
126,FEM,FID,0
127,FEM,FJP,0
121,FAB,PY,0
129,FEM,FTXR,0
139,FEM,RFEM,0
138,FEM,RFDI,0
137,FEM,PSCF,0
128,FEM,FKU,0
135,FEM,PIZ,0
134,FEM,OPPJ,0
133,FEM,IXUS,0
132,FEM,IMOM,0
136,FEM,PRFZ,0
110,EMIF,FTXH,0
131,FEM,IFV,0
130,FEM,IEUS,0
309,IEI,VWOB,1
423,VCSH,VGSH,1
308,IEI,IUSB,1
417,SLQD,VGSH,1
299,HYLS,HYXF,1
107,EMCB,SHY,1
106,EMCB,ISTB,1
304,HYXF,SLQD,1
296,GNMA,VMBS,1
302,HYLS,SLQD,1
301,HYLS,SHY,1
300,HYLS,IGSB,1
415,SHV,VRIG,1
298,HISF,VTIP,1
416,SHY,VCSH,1
108,EMCB,SKOR,1
297,HISF,VGSH,1
295,GNMA,MBB,1
303,HYLS,VGSH,1
66,BND,VGIT,1
20,AGZD,FTQI,1
339,IUSB,VGIT,1
338,ISTB,VGSH,1
244,FTSM,SHV,1
337,ISTB,SHY,1
240,FTQI,SHV,1
239,FTQI,HYZD,1
31,ANGL,PFF,1
317,IGSB,VGSH,1
65,BND,IEI,1
315,IGSB,SHY,1
389,PFF,SHY,1
390,PFF,SKOR,1
391,PFF,SLQD,1
392,PFF,VCSH,1
393,PFF,VGSH,1
394,PFF,VTIP,1
23,AGZD,VRIG,1
22,AGZD,SHV,1
21,AGZD,FTSM,1
109,EMCB,VGSH,1
316,IGSB,VCSH,1
